time,page,tr_fluxo_compra,tr_fluxo_navegacao 
0,1888.949,, 
10,1888.949,,7325.257 
20,2234.974,,23283.26 
30,2234.974,33850.835,23283.26 
40,2234.974,40466.704,40910.003 
50,2234.974,40466.704,40910.003 
60,2932.013,40466.704,40910.003 
70,2932.013,48917.486,40910.003 
80,5617.097,48917.486,40910.003 
90,5617.097,48917.486,40910.003 
100,5617.097,48917.486,40910.003 
110,5617.097,71037.438,45345.516 
120,5617.097,71037.438,45345.516 
130,5617.097,71037.438,53174.348 
131,5617.097,71037.438,53174.348 
