time,page,tr_fluxo_compra,tr_fluxo_navegacao 
0,852.6495000000001,, 
10,572.98915,,7325.257 
20,648.3829130434784,,19747.93 
30,541.5512941176469,33850.835,0 
40,522.998023809524,40466.704,21618.546666666665 
50,381.9889130434783,34623.542,15326.0582 
60,542.1156666666668,39655.343,15177.899 
70,526.6597571428572,40121.55966666667,19347.808800000003 
80,588.8539051724136,40222.316,12604.6302 
90,486.5095568181818,29341.843,15380.476153846153 
100,408.6573018867924,31025.238,22338.053090909092 
110,707.3976315789474,44648.643833333335,34441.260500000004 
120,636.1721666666667,37575.11266666666,30721.317 
130,541.3375000000001,49897.951499999996,53174.348 
131,0,0,0 
