time,page,tr_fluxo_compra,tr_fluxo_navegacao 
0,514.78258086871,, 
10,485.1397072353772,,0 
20,571.4265986056237,,3535.3299999999986 
30,500.2707259393792,0,0 
40,494.85998325752945,0.0,9420.231466897238 
50,313.9740625342376,0.0,4280.017249119513 
60,575.4029207327873,0.0,0.0 
70,471.37567914609366,6227.339787273658,6263.873260559137 
80,719.2650989260518,0.0,3035.4612458330216 
90,486.00536638432334,0.0,4752.487290451259 
100,469.4698712536596,3388.652142943364,5943.238502395297 
110,942.548653338451,16030.285481742541,10904.2555 
120,416.823756365092,1523.4996835838926,0.0 
130,427.6334194076159,3744.1404999999995,0.0 
131,0,0,0 
