time,connect,request 
0,729.2595,816.0933333333334 
10,446.677,764.9718571428572 
20,493.6425,490.6743888888889 
30,441.2996363636363,504.34123529411767 
40,477.0043333333333,397.621696969697 
50,441.31600000000003,593.5347948717948 
60,484.162,562.9310454545455 
70,443.53140909090905,711.0773508771931 
80,444.58215,476.1420521739128 
90,623.4806470588235,519.3040227272728 
100,0,501.5041075268818 
110,0,405.8947600000003 
120,0,744.2717083333335 
130,0,751.0271875 
140,0,639.0196666666667 
142,0,0 
