time,tr_fluxo_compra,page,tr_fluxo_navegacao 
30,0,352.47431480197406,1637.4190000000008 
40,0,432.16796613553663,5843.850027881659 
50,0.0,714.3599732878764,5346.265765886815 
60,0.0,607.6914506964023,7911.788621004075 
70,0,508.517047274237,12905.91194567342 
80,0,491.27574586551606,7378.856728507641 
90,0,641.3188381867627,3272.6618033128807 
100,3234.8216865168683,581.5989848314722,5776.951693209143 
110,5341.438522934331,411.23366729569017,6854.285352821823 
120,8158.096103219004,567.2482550736698,0 
130,3451.9446095869635,884.9941207397382,0 
140,8655.446311385771,23.19764708375017,0 
142,0,0,0 
