time,request,connect 
0,714.1184285714286,586.9363333333334 
10,763.2762777777778,443.4065 
20,590.8772916666668,451.86474999999996 
30,498.65161111111087,452.86455555555557 
40,509.0214791666665,461.33575 
50,659.3965641025642,465.8956 
60,585.1113965517242,449.14900000000006 
70,559.4711120000002,451.51328571428576 
80,612.6772255639099,454.17452631578954 
90,447.95140186915893,0 
100,575.7055217391304,0 
110,561.2881363636363,0 
120,215.68366666666665,0 
130,825.5396666666666,0 
137,258.841,0 
