time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,17247.339,590.8772916666668, 
30,10176.509,498.65161111111087, 
40,13402.051666666666,509.0214791666665,41644.458 
50,19764.943000000003,659.3965641025642,42242.02466666667 
60,19622.828,585.1113965517242,42401.1505 
70,17805.821799999998,559.4711120000002,23252.218 
80,14837.647500000001,612.6772255639099,47533.130999999994 
90,19898.67794999999,447.95140186915893,27572.323999999997 
100,27770.81183333333,575.7055217391304,42242.53528571429 
110,31079.103,561.2881363636363,41789.98075 
120,0,215.68366666666665,50252.442500000005 
130,0,825.5396666666666,54639.574 
137,55120.527,258.841,66682.7965 
