time,tr_fluxo_navegacao,page,tr_fluxo_compra 
20,1686.0337198484501,624.7413955903061, 
30,0.0,418.4785740442048, 
40,2861.304106954302,467.2615951640022,0 
50,5914.4306260653975,556.8324426255609,8541.268731704611 
60,3496.2586226298386,636.1858893107976,12594.184500000001 
70,2321.3884667049933,616.9443357683701,0.0 
80,3579.007590113436,571.0582941432898,494.4290000000019 
90,7452.8896106634475,513.8003611798634,2714.667950277652 
100,5141.195917033228,557.5489426653108,20005.64049790344 
110,0.0,465.3037581350191,6509.412405070921 
120,0,106.88040065211001,4447.8055 
130,0,78.4665812191548,0.0 
137,0.0,117.74523100745948,3197.083499999997 
